Date,Open,High,Low,Close,Volume,Change
2020-08-05,34900,34950,33950,34150,905293,-0.01726618705035976
2020-08-06,34350,34900,34150,34550,859335,0.01171303074670571
2020-08-07,34600,34900,34000,34100,829352,-0.013024602026049159
2020-08-10,34150,34500,33850,34450,749656,0.01026392961876832
2020-08-11,35450,36950,35250,36450,4053870,0.05805515239477499
2020-08-12,36450,36800,35350,36550,1568218,0.00274348422496562
2020-08-13,37050,37150,35800,36100,1307133,-0.012311901504788003
2020-08-14,36500,36800,35550,36000,1000610,-0.0027700831024930483
2020-08-18,36100,36150,33700,34000,1387948,-0.05555555555555558
2020-08-19,33800,34450,33800,33900,764023,-0.002941176470588225
2020-08-20,33700,33800,31900,32200,1503859,-0.05014749262536877
2020-08-21,32300,33200,32300,32500,757288,0.009316770186335477
2020-08-24,32300,32550,31350,32400,719044,-0.003076923076923088
2020-08-25,32650,33200,32600,33000,652921,0.0185185185185186
2020-08-26,33000,33000,32400,32950,598809,-0.0015151515151514694
2020-08-27,32700,32900,31850,31950,930882,-0.030349013657056112
2020-08-28,32250,32850,32000,32650,689273,0.021909233176838905
2020-08-31,32850,33150,32250,32250,954449,-0.01225114854517606
2020-09-01,32250,32750,32200,32600,585880,0.010852713178294504
2020-09-02,32950,33050,32350,32700,474578,0.0030674846625766694
2020-09-03,32900,32900,32350,32350,608030,-0.010703363914373099
2020-09-04,31500,32000,31400,32000,565062,-0.010819165378670781
2020-09-07,32100,33500,32050,33000,1206392,0.03125
2020-09-08,33350,33350,32550,32650,590475,-0.010606060606060619
2020-09-09,32250,32400,32000,32200,498767,-0.013782542113323082
2020-09-10,32450,32500,32050,32100,602863,-0.0031055900621117516
2020-09-11,32100,32300,31800,32300,448870,0.006230529595015577
2020-09-14,32350,33100,32150,32700,651256,0.01238390092879249
2020-09-15,32800,32850,32150,32250,772092,-0.013761467889908285
2020-09-16,32350,32650,32300,32400,488892,0.0046511627906977715
2020-09-17,32550,32600,32100,32200,408639,-0.006172839506172867
2020-09-18,32200,32350,32050,32100,403751,-0.0031055900621117516
2020-09-21,32100,32300,31850,32000,458750,-0.0031152647975077885
2020-09-22,32150,32150,31000,31000,883287,-0.03125
2020-09-23,31150,31200,30250,30600,635355,-0.012903225806451646
2020-09-24,30150,30200,29500,29650,768636,-0.03104575163398693
2020-09-25,29750,30150,29300,29700,690342,0.001686340640809414
2020-09-28,29800,30350,29750,30050,368937,0.011784511784511675
2020-09-29,30500,30700,30250,30450,353591,0.01331114808652245
