티로우프라이스,TROW,2021-09-09,us,40,"215,225"
웨스트락,WRK,2021-09-09,us,40,"48,50,54"
프로로지스,PLD,2021-09-09,us,40,"135,142"
크로거,KR,2021-09-09,us,40,"43,45,47,49"
JP모건체이스,JPM,2021-09-09,us,40,"155,162"
카디날헬스,CAH,2021-09-09,us,40,"52,55"
인텔,INTC,2021-09-09,us,40,"52,55"
코카콜라,KO,2021-09-09,us,40,"395,405"
로열뱅크캐나다,RY,2021-09-09,us,40,"100,105"
IBM,IBM,2021-09-09,us,40,"136,142"
애브비,ABBV,2020-11-25,us,20,
BHP,BHP,2021-09-09,us,40,"55,60,65"
필립모리스,PM,2021-09-09,us,40,"102,108"
BP,BP,2021-09-09,us,40,"24, 25.5"
엔호이저부시인베브,BUD,2021-09-09,us,40,"56,62"
로얄더치쉘,RDSa,2021-09-09,us,40,"38.5,41"
엑손모빌,XOM,2020-11-25,us,20,
매드트로닉,MDT,2021-09-09,us,40,"133,138"
아메리칸워터,AWK,2021-09-09,us,40,"183,193"
아메리칸타워,AMT,2021-09-09,us,40,"295,305"
채썸롯징트러스트,CLDT,2021-09-09,us,40,"11.5,12.4"
에디슨,ED,2021-09-09,us,40,"74,77"
비자,V,2021-09-09,us,40,"225,235"
맥도날드,MCD,2021-09-09,us,40,"234,242"
알트리아,MO,2021-09-09,us,40,"50,52"
매리어트,MAR,2021-09-09,us,40,"130,135,140"
보잉,BA,2021-09-09,us,40,"200,208,215,225"
록히드마틴,LMT,2021-09-09,us,40,"340,352,360"
암젠,AMGN,2021-09-09,us,40,"210,220,230"
버라이즌,VZ,2021-09-09,us,40,"54,56"
스타벅스,SBUX,2021-09-09,us,40,115
존슨앤존슨,JNJ,2021-09-09,us,40,165
엘앤에프,066970,2021-09-02,ko,50,"105000,99000"
로블록스,RBLX,2021-04-21,us,40,67
쿠팡,CPNG,2021-04-21,us,30,38
ARK Geno,ARKG,2021-04-21,us,40,83
ARK Invo,arkk,2021-04-21,us,40,115
Lucid Motors,LCID,2021-04-21,us,50,16
오픈도어,OPEN,2021-04-21,us,40,15
버진갤러틱,SPCE,2021-04-21,us,40,20
퀀텀스케이프,QS,2021-04-21,us,40,30
Baidu,bidu,2021-03-28,us,40,200
PlugPower,plug,2021-03-27,us,40,"30,35"
나스미디어,089600,2020-12-15,ko,20,
KG이니시스,035600,2020-12-15,ko,20,
인크로스,216050,2020-12-15,ko,20,
만도,204320,2020-12-14,ko,20,
KH바텍,060720,2020-12-14,ko,20,
엠씨넥스,097520,2020-12-14,ko,40,43000
자화전자,033240,2020-12-14,ko,20,
IPO ETF,IPO,2020-12-07,us,20,
두산,000150,2020-12-01,ko,20,
Pinduoduo,PDD,2020-10-25,us,20,
EEM,EEM,2020-10-11,us,20,
FederalReality,FRT,2020-11-25,us,20,
Alfrac,AFL,2020-11-25,us,20,
원익IPS,240810,2020-11-25,ko,20,
3M,MMM,2020-11-25,us,40,"180,185,193"
테스나,131970,2020-11-25,ko,20,
원익QnC,074600,2020-11-25,ko,20,
FANG+ETN,FNGS,2020-11-10,us,20,
메가캡그로쓰,MGK,2020-11-10,us,20,
셀트리온헬스케어,091990,2020-11-25,ko,30,150000
글로벌차ETF,DRIV,2020-11-10,us,20,
현대글로비스,086280,2020-11-10,ko,20,
온라인리테일ETF,ONLN,2020-11-10,us,20,
클라우드컴퓨팅ETF,WCLD,2020-11-10,us,20,
팔란티어,PLTR,2020-11-10,us,20,
20년국채ETF,TLT,2020-11-10,us,20,
HMM,011200,2020-11-10,ko,20,
진성티이씨,036890,2020-11-10,ko,20,13000
블랙스톤모기지,BXMT,2020-11-10,us,20,
나스닥클린에지,QCLN,2020-10-25,us,20,
SK케미칼,285130,2020-11-10,ko,20,
알리바바,BABA,2020-10-30,us,20,
징동,JD,2020-10-30,us,20,
AT&T,T,2020-10-25,us,40,27
리얼티인컴,O,2020-10-25,us,40,70
버크셔헤서웨이B,BRKb,2020-10-25,us,20,
줌비디오,ZM,2020-10-25,us,20,
징코솔라,JKS,2020-10-25,us,20,
구글C,GOOG,2020-10-25,us,20,
에치에프알,230240,2020-10-25,ko,20,
RFHIC,218410,2020-10-25,ko,20,
녹십자,006280,2020-10-25,ko,20,
TIGER KRX 바이오 뉴딜,364970,2020-10-20,ko,20,
TIGER KRX 2차전지 뉴딜,364980,2020-10-20,ko,20,
TIGER KRX 인터넷 뉴딜,365000,2020-10-20,ko,20,
TIGER KRX 게임 뉴딜,364990,2020-10-20,ko,20,
TIGER KRX BBIG 뉴딜,364960,2020-10-20,ko,20,
이엔드디,101360,2020-10-20,ko,20,
GS리테일,007070,2020-10-20,ko,20,
아모레퍼시픽,090430,2020-10-16,ko,20,
도이치모터스,067990,2020-10-11,ko,20,
LG디스플레이,034220,2020-10-11,ko,20,
삼영엠텍,054540,2020-10-11,ko,20,
